AT,V,AP,RH,PE,PE_Label
0.3725212464589236,0.29181494661921703,0.7715911902994321,0.6382037533512066,463.26,3
0.6620396600566573,0.6690391459074733,0.671863400148478,0.4493297587131368,444.37,2
0.09348441926345612,0.2498220640569394,0.47686216283098304,0.8924932975871316,488.56,4
0.5396600566572238,0.5686832740213522,0.42934917099728054,0.6847184986595176,446.48,2
0.2552407932011332,0.2160142348754448,0.40435535758475893,0.9525469168900806,473.9,4
0.6929178470254957,0.6064056939501777,0.47859440732491976,0.44517426273458455,443.67,2
0.3988668555240794,0.33096085409252674,0.5228903736698847,0.6659517426273458,467.35,3
0.21728045325779044,0.34430604982206403,0.6490967582281648,0.5478552278820377,478.42,4
0.36345609065155815,0.34946619217081853,0.7149220489977743,0.21032171581769438,475.98,4
0.28130311614730885,0.32384341637010683,0.5506062855728793,0.6053619302949063,477.5,4
0.4583569405099151,0.32669039145907464,0.38975501113585764,0.6632707774798929,453.02,3
0.5192634560906516,0.3838078291814946,0.538728037614451,0.5182305630026809,453.99,3
0.638243626062323,0.8565836298932384,0.455827765404603,0.7853887399463808,440.29,2
0.6770538243626063,0.5912811387900355,0.4919574362781489,0.48619302949061666,451.28,3
0.6906515580736545,0.7825622775800712,0.4105419450631054,0.831501340482574,433.99,2
0.5555240793201134,0.3279359430604982,0.565949022519181,0.23485254691689011,462.19,3
0.4645892351274789,0.34946619217081853,0.7416481069042327,0.312064343163539,467.54,3
0.2614730878186969,0.29145907473309607,0.7352140559267539,0.6963806970509385,477.2,4
0.35807365439093486,0.48736654804270463,0.769116555308095,0.5097855227882038,459.85,3
0.34447592067988675,0.23327402135231312,0.5508537490720116,0.3983914209115282,464.3,3
0.4518413597733712,0.30355871886121,0.4008908685968855,0.5455764075067024,468.27,3
0.1019830028328612,0.26174377224199286,0.6500866122246975,0.525603217158177,495.24,5
0.16855524079320117,0.30106761565836304,0.38678544914625235,0.774128686327078,483.8,4
0.7201133144475922,0.68576512455516,0.5298193516456315,0.289946380697051,443.61,2
0.7237960339943343,0.4135231316725979,0.2546399406087616,0.39369973190348534,436.06,2
0.7269121813031162,0.8071174377224198,0.42266765652066596,0.6576407506702415,443.25,2
0.36232294617563743,0.24822064056939508,0.4508784954219287,0.6294906166219838,464.16,3
0.17280453257790374,0.25978647686832745,0.7592180153427392,0.8428954423592494,475.52,4
0.113314447592068,0.18558718861209966,0.4763672358327149,0.8943699731903487,484.41,4
0.8135977337110483,0.708540925266904,0.4899777282850799,0.21836461126005363,437.89,2
0.624929178470255,0.686476868327402,0.6466221232368241,0.2509383378016086,445.11,2
0.6878186968838528,0.5880782918149464,0.5134867607027971,0.5230563002680966,438.86,2
0.7779036827195468,0.738256227758007,0.4508784954219287,0.5052278820375335,440.98,2
0.7243626062322946,0.8683274021352311,0.42538975501113896,0.7111260053619304,436.65,2
0.651558073654391,0.686476868327402,0.6401880722593418,0.2540214477211797,444.26,2
0.309915014164306,0.3322064056939502,0.35634743875278474,0.8565683646112601,465.86,3
0.6473087818696884,0.6827402135231316,0.4580549368968079,0.6563002680965146,444.37,2
0.4127478753541077,0.3930604982206406,0.42538975501113896,0.8485254691689008,450.69,3
0.3427762039660057,0.248932384341637,0.539470428111855,0.6695710455764077,469.02,3
0.6053824362606233,0.46156583629893233,0.47389260084137774,0.7115281501340485,448.86,2
0.5852691218130311,0.3930604982206406,0.36451373422420374,0.6848525469168902,447.14,2
0.3280453257790369,0.346797153024911,0.602573620390995,0.735656836461126,469.18,3
0.211614730878187,0.2879003558718861,0.6295471417965892,0.7282841823056301,482.8,4
0.2835694050991502,0.3113879003558718,0.5253650086612254,0.840750670241287,476.7,4
0.23966005665722384,0.27188612099644127,0.6864637465973793,0.7914209115281501,474.99,4
0.5980169971671389,0.686476868327402,0.6530561742143028,0.22962466487935657,444.22,2
