AT,V,AP,RH,PE,PE_Label,AT_V,AT_RH
0.3725212464589236,0.291814946619217,0.7715911902994321,0.6382037533512066,463.26,3,0.10870726764993496,0.23774445769315491
0.6620396600566573,0.6690391459074733,0.671863400148478,0.4493297587131368,444.37,2,0.4429304487211799,0.2974741207117849
0.0934844192634561,0.2498220640569394,0.476862162830983,0.8924932975871316,488.56,4,0.02335447057756091,0.0834342176214599
0.5396600566572238,0.5686832740213522,0.4293491709972805,0.6847184986595176,446.48,2,0.3068956478783785,0.3695152237808445
0.2552407932011332,0.2160142348754448,0.4043553575847589,0.9525469168900806,473.9,4,0.05513564465234442,0.24312883062831808
0.6929178470254957,0.6064056939501777,0.4785944073249197,0.4451742627345845,443.67,2,0.42018932787595886,0.30846919168521064
0.3988668555240794,0.3309608540925267,0.5228903736698847,0.6659517426273458,467.35,3,0.13200931517344977,0.26562607751255046
0.2172804532577904,0.344306049822064,0.6490967582281648,0.5478552278820377,478.42,4,0.07481097456473743,0.1190382322338592
0.3634560906515581,0.3494661921708185,0.7149220489977743,0.2103217158176943,475.98,4,0.12701561602129183,0.07644270861022713
0.2813031161473088,0.3238434163701068,0.5506062855728793,0.6053619302949063,477.5,4,0.09109816216870142,0.17029019738890708
0.4583569405099151,0.3266903914590746,0.3897550111358576,0.6632707774798929,453.02,3,0.1497408083231679,0.30401476429531643
0.5192634560906516,0.3838078291814946,0.538728037614451,0.5182305630026809,453.99,3,0.19929737985543333,0.26909819319657624
0.638243626062323,0.8565836298932384,0.455827765404603,0.7853887399463808,440.29,2,0.5467090419686873,0.5012693572518969
0.6770538243626063,0.5912811387900355,0.4919574362781489,0.4861930294906166,451.28,3,0.4003291562912705,0.3291788499950634
0.6906515580736545,0.7825622775800712,0.4105419450631054,0.831501340482574,433.99,2,0.540477856300344,0.574277696344622
0.5555240793201134,0.3279359430604982,0.565949022519181,0.2348525469168901,462.19,3,0.1821763128446564,0.1304662449019891
0.4645892351274789,0.3494661921708185,0.7416481069042327,0.312064343163539,467.54,3,0.16235823092355312,0.14498173450090768
0.2614730878186969,0.291459074733096,0.7352140559267539,0.6963806970509385,477.2,4,0.07620870424324296,0.18208481115524539
0.3580736543909348,0.4873665480427046,0.769116555308095,0.5097855227882038,459.85,3,0.17451312088554632,0.1825407651003653
0.3444759206798867,0.2332740213523131,0.5508537490720116,0.3983914209115282,464.3,3,0.0803572832760376,0.13723625150946694
0.4518413597733712,0.30355871886121,0.4008908685968855,0.5455764075067024,468.27,3,0.13716038430131164,0.2465139858280993
0.1019830028328612,0.2617437722419928,0.6500866122246975,0.525603217158177,495.24,5,0.02669341586603893,0.05360259438440333
